Município,Var_Pop,IEI_Score,Total_Arquivo_Captures,Live_StatusCode,CASSANDRA_Risk_Tier,CASSANDRA_Risk_Score,municipio,site_mortality_rate,unique_domains,capture_acceleration,last_capture_gap_days
Soure,-10.0,94.6998,279.0,200,TIER 3 - Risco de Fuga,25.1,soure,0.0544,2.0,0.1875766244380874,581.0
Sousel,-12.9,92.9491,155.0,200,TIER 4 - Profecia CASSANDRA,95.6,sousel,0.037,2.0,0.1709401709401709,259.0
Tábua,-6.62,95.8619,610.0,Dead,TIER 3 - Risco de Fuga,5.7,tabua,0.1468,2.0,0.056390977443609,1323.0
Tabuaço,-19.7,95.3774,712.0,200,TIER 3 - Risco de Fuga,39.2,tabuaco,0.264,2.0,0.7863408521303258,490.0
Tarouca,-7.52,95.3417,628.0,Dead,TIER 3 - Risco de Fuga,5.7,tarouca,0.0728,2.0,0.1058419243986254,518.0
Tavira,5.52,94.7763,628.0,200,TIER 1 - Resiliência,0.6,tavira,0.091,2.0,0.8971631205673759,831.0
Tomar,-9.84,95.4843,628.0,200,TIER 3 - Risco de Fuga,7.2,tomar,0.15,2.0,0.2469935245143385,440.0
Tondela,-9.54,95.3779,628.0,200,TIER 3 - Risco de Fuga,5.6,tondela,0.1168,2.0,1.130801687763713,259.0
Trancoso,-14.5,93.6078,628.0,200,TIER 4 - Profecia CASSANDRA,68.8,trancoso,0.0574,2.0,0.9439834024896264,541.0
Vagos,1.31,95.3968,628.0,200,TIER 1 - Resiliência,0.3,vagos,0.771,2.0,0.2410974897840046,582.0
Valença,-2.43,95.2341,628.0,200,TIER 2 - Estagnação,1.0,valenca,0.073,2.0,0.7757296466973886,530.0
Valongo,1.94,95.7849,628.0,200,TIER 1 - Resiliência,0.7,valongo,0.5326,2.0,0.0862759373862395,542.0
Valpaços,-12.66,96.33,24.0,Dead,TIER 4 - Profecia CASSANDRA,74.8,valpacos,0.1252279635258358,2.0,0.1923076923076923,1565.0
Vidigueira,-11.45,95.4175,767.0,200,TIER 4 - Profecia CASSANDRA,79.8,vidigueira,0.2336,2.0,0.1249076127124907,582.0
Vimioso,-10.67,95.3679,737.0,200,TIER 4 - Profecia CASSANDRA,82.3,vimioso,0.665,2.0,0.1560975609756097,780.0
Vinhais,-14.01,95.5032,820.0,200,TIER 4 - Profecia CASSANDRA,92.3,vinhais,0.4338,2.0,0.0587618048268625,924.0
Viseu,0.46,95.9351,1268.0,200,TIER 1 - Resiliência,0.7,viseu,0.0644,2.0,0.0209617755856966,1945.0
Vizela,1.21,95.3102,468.0,200,TIER 1 - Resiliência,0.4,vizela,0.0184,2.0,0.1041666666666666,1335.0
Vouzela,-7.74,94.8454,420.0,200,TIER 4 - Profecia CASSANDRA,57.1,vouzela,0.11,2.0,0.8977480219111381,490.0
Albergaria-a-Velha,-0.91,95.3401,767.0,200,TIER 3 - Risco de Fuga,0.9,albergaria-a-velha,0.0842,2.0,0.1556603773584905,168.0
Miranda do Corvo,-8.26,94.4963,247.0,200,TIER 3 - Risco de Fuga,1.1,miranda do corvo,0.0194,2.0,0.1438000942951438,779.0
Santa Maria da Feira,-1.44,95.0363,882.0,200,TIER 2 - Estagnação,0.4,santa maria da feira,0.6836,2.0,0.0648126325712939,582.0
Vila Nova de Gaia,0.8,93.5735,157.0,200,TIER 1 - Resiliência,0.2,vila nova de gaia,0.1346,2.0,0.3822975517890772,537.0
Santa Cruz da Graciosa,-6.45,95.6616,589.0,200,TIER 3 - Risco de Fuga,11.2,santa cruz da graciosa,0.109,2.0,3.2246777163904237,582.0
Torre de Moncorvo,-18.84,94.6875,236.0,200,TIER 4 - Profecia CASSANDRA,84.3,torre de moncorvo,0.1398,2.0,0.2253521126760563,722.0
Vila do Porto,-1.91,92.87,144.0,200,TIER 2 - Estagnação,1.6,vila do porto,0.1916,2.0,0.0747330960854092,635.0
Horta,-3.78,95.649,1121.0,200,TIER 2 - Estagnação,2.2,horta,0.0246,2.0,0.2268326417704011,582.0
Mangualde,-7.39,95.3509,461.0,200,TIER 3 - Risco de Fuga,6.8,mangualde,0.216,2.0,0.2230769230769231,625.0
Velas,-8.48,97.8192,411.0,200,TIER 3 - Risco de Fuga,4.7,velas,0.1026,2.0,0.2032520325203252,785.0
Guarda,-5.85,99.4034,1137.0,200,TIER 2 - Estagnação,8.8,guarda,0.3318,2.0,0.4648719632304662,457.0
Aljustrel,-3.75,94.6838,530.0,200,TIER 2 - Estagnação,29.6,aljustrel,0.2592,2.0,0.4920477137176938,767.0
Montijo,9.69,97.1601,1452.0,200,TIER 1 - Resiliência,0.5,montijo,0.21,2.0,0.0332326283987915,1371.0
Lajes do Pico,-6.64,97.4213,698.0,200,TIER 3 - Risco de Fuga,6.9,lajes do pico,0.202,2.0,2.212605042016807,780.0
Trofa,-0.52,99.0616,676.0,200,TIER 3 - Risco de Fuga,1.0,trofa,0.008,2.0,0.4488162720906969,779.0
Alter do Chão,-13.77,94.2982,291.0,200,TIER 4 - Profecia CASSANDRA,74.6,alter do chao,0.3964,2.0,0.2057026476578411,581.0
Angra do Heroísmo,-4.38,95.6295,839.0,200,TIER 2 - Estagnação,1.0,angra do heroismo,0.288,2.0,0.0410502958579881,1008.0
Arcos de Valdevez,-8.35,95.3454,1020.0,200,TIER 3 - Risco de Fuga,32.3,arcos de valdevez,0.238,2.0,0.3511586452762923,543.0
Vila Nova da Barquinha,-1.82,97.4384,2474.0,200,TIER 2 - Estagnação,20.4,vila nova da barquinha,0.1578,2.0,0.2056323060573857,490.0
Cabeceiras de Basto,-6.46,95.1626,531.0,200,TIER 3 - Risco de Fuga,11.1,cabeceiras de basto,0.0102,2.0,0.2298032649644202,582.0
Caldas da Rainha,-0.65,92.2271,25.0,200,TIER 2 - Estagnação,0.4,caldas da rainha,0.0854,2.0,0.775,165.0
Castanheira de Pêra,-15.43,94.9608,374.0,200,TIER 4 - Profecia CASSANDRA,83.9,castanheira de pera,0.0296,2.0,1.6666666666666667,490.0
Aguiar da Beira,-6.03,95.4298,754.0,200,TIER 4 - Profecia CASSANDRA,54.0,aguiar da beira,0.0542,2.0,0.677734375,489.0
Alcácer do Sal,-13.72,92.7268,129.0,200,TIER 4 - Profecia CASSANDRA,79.2,alcacer do sal,0.0646,2.0,0.015426997245179,864.0
Alfândega da Fé,-14.66,95.8423,1264.0,200,TIER 4 - Profecia CASSANDRA,92.7,alfandega da fe,0.6764,2.0,0.162826899128269,829.0
Arruda dos Vinhos,5.91,95.4769,854.0,200,TIER 1 - Resiliência,1.4,arruda dos vinhos,0.0424,2.0,0.1642228739002932,195.0
Calheta [R.A.A.],-6.84,96.8223,146.0,200,TIER 3 - Risco de Fuga,13.1,calheta [r.a.a.],0.0438,2.0,0.326148969889065,771.0
Câmara de Lobos,-8.98,95.1548,581.0,200,TIER 3 - Risco de Fuga,0.7,camara de lobos,0.0412,2.0,0.1702857142857143,346.0
Carrazeda de Ansiães,-12.49,95.4073,909.0,200,TIER 4 - Profecia CASSANDRA,96.8,carrazeda de ansiaes,0.7038,2.0,0.0363398692810457,924.0
Carregal do Sal,-7.36,94.6819,568.0,200,TIER 3 - Risco de Fuga,8.6,carregal do sal,0.0132,2.0,0.1399711399711399,543.0
Castelo Branco,-6.42,99.4567,3730.0,200,TIER 3 - Risco de Fuga,4.0,castelo branco,0.02,2.0,0.5289256198347108,488.0
Castro Daire,-9.73,95.405,522.0,200,TIER 3 - Risco de Fuga,20.5,castro daire,0.1812,2.0,0.413926499032882,259.0
Castro Marim,-2.56,95.5707,201.0,200,TIER 2 - Estagnação,3.2,castro marim,0.0656,2.0,0.268370607028754,2337.0
Castro Verde,-5.37,93.5341,168.0,200,TIER 3 - Risco de Fuga,7.0,castro verde,0.1042,2.0,0.0854368932038835,780.0
Celorico da Beira,-13.64,93.2718,150.0,200,TIER 4 - Profecia CASSANDRA,91.2,celorico da beira,0.0434,2.0,7.142857142857143,582.0
Celorico de Basto,-11.51,100.0,628.0,Dead,TIER 3 - Risco de Fuga,16.9,celorico de basto,0.5,1.0,0.2232142857142857,580.5
Condeixa-a-Nova,-1.62,95.3301,936.0,200,TIER 2 - Estagnação,1.2,condeixa-a-nova,0.0156,2.0,0.2729096989966555,537.0
Figueira de Castelo Rodrigo,-17.74,94.4917,381.0,200,TIER 4 - Profecia CASSANDRA,94.3,figueira de castelo rodrigo,0.1836,2.0,0.04245465071401,493.0
Ferreira do Zêzere,-8.69,95.5297,1285.0,200,TIER 4 - Profecia CASSANDRA,95.4,ferreira do zezere,0.047,2.0,0.0866902997099581,563.0
Figueira da Foz,-4.7,95.8847,1352.0,200,TIER 2 - Estagnação,0.7,figueira da foz,0.2642,2.0,0.3740484429065744,555.0
Figueiró dos Vinhos,-13.48,95.3211,812.0,200,TIER 4 - Profecia CASSANDRA,84.7,figueiro dos vinhos,0.0134,2.0,0.7127659574468085,489.0
Fornos de Algodres,-12.15,94.6254,501.0,200,TIER 4 - Profecia CASSANDRA,68.6,fornos de algodres,0.1896,2.0,0.1395846059865607,578.0
Vila Nova de Foz Côa,-12.61,95.1936,460.0,200,TIER 4 - Profecia CASSANDRA,88.4,vila nova de foz coa,0.0408,2.0,3.402684563758389,582.0
Idanha-a-Nova,-12.73,99.3315,2611.0,200,TIER 4 - Profecia CASSANDRA,94.3,idanha-a-nova,0.1158,2.0,0.5708609271523178,115.0
Lagoa [R.A.A.],-0.4,96.6646,200.0,200,TIER 2 - Estagnação,1.6,lagoa [r.a.a.],0.0252,2.0,0.0878661087866108,579.0
Macedo de Cavaleiros,-9.04,95.3053,788.0,200,TIER 3 - Risco de Fuga,14.9,macedo de cavaleiros,0.286,2.0,0.1755077296150348,582.0
Mesão Frio,-19.63,95.3257,726.0,200,TIER 3 - Risco de Fuga,16.0,mesao frio,0.2166,2.0,0.1097560975609756,582.0
Moimenta da Beira,-6.75,95.2736,778.0,200,TIER 3 - Risco de Fuga,23.4,moimenta da beira,0.6762,2.0,0.36,544.0
Mondim de Basto,-13.64,92.8607,55.0,403,TIER 4 - Profecia CASSANDRA,81.4,mondim de basto,0.300453514739229,2.0,0.1686746987951807,2360.0
Montemor-o-Novo,-8.02,94.7261,369.0,200,TIER 3 - Risco de Fuga,20.9,montemor-o-novo,0.1426,2.0,0.0182682682682682,579.0
Oliveira de Azeméis,-2.97,95.4825,1097.0,200,TIER 2 - Estagnação,1.7,oliveira de azemeis,0.052,2.0,0.1562178828365878,582.0
Oliveira de Frades,-6.1,97.1049,16.0,Timeout,TIER 3 - Risco de Fuga,7.7,oliveira de frades,0.031,2.0,1.7976457399103138,498.0
Oliveira do Hospital,-6.38,95.5808,949.0,200,TIER 3 - Risco de Fuga,12.7,oliveira do hospital,0.1178,2.0,0.2716829408385985,567.0
Pampilhosa da Serra,-8.77,95.3172,707.0,200,TIER 4 - Profecia CASSANDRA,58.2,pampilhosa da serra,0.6166,2.0,0.2167676123685049,542.0
Pedrógão Grande,-10.74,95.3217,778.0,200,TIER 4 - Profecia CASSANDRA,80.5,pedrogao grande,0.2962,2.0,3.636585365853658,489.0
Penalva do Castelo,-7.76,95.29,651.0,200,TIER 3 - Risco de Fuga,22.2,penalva do castelo,0.3588,2.0,0.6494082840236687,564.0
Peso da Régua,-14.57,95.4701,847.0,200,TIER 4 - Profecia CASSANDRA,40.4,peso da regua,0.042,4.0,0.6316526610644257,542.0
Ponta Delgada,-1.81,97.5367,1026.0,Dead,TIER 2 - Estagnação,1.2,ponta delgada,0.2828,1.0,0.1666666666666666,543.0
Ponta do Sol,-4.75,96.3587,495.0,200,TIER 2 - Estagnação,2.2,ponta do sol,0.1222,2.0,0.2520661157024793,462.0
Ponte da Barca,-7.88,92.9949,9.0,Dead,TIER 3 - Risco de Fuga,12.1,ponte da barca,0.1341117071631429,2.0,45.77272727272727,725.0
Ponte de Lima,-5.18,95.4914,1072.0,200,TIER 2 - Estagnação,1.9,ponte de lima,0.2706,2.0,0.0103938730853391,1265.0
Ponte de Sor,-8.32,94.7906,538.0,200,TIER 3 - Risco de Fuga,17.7,ponte de sor,0.413,2.0,1.2811466372657112,563.0
Porto Moniz,-8.97,98.2748,4.0,Dead,TIER 3 - Risco de Fuga,7.8,porto moniz,0.0507636050763605,1.0,0.2232142857142857,4490.0
Porto Santo,-5.64,95.2554,640.0,200,TIER 1 - Resiliência,1.2,porto santo,0.0822,2.0,0.1064871481028151,462.0
Póvoa de Lanhoso,0.39,92.8862,53.0,200,TIER 1 - Resiliência,1.4,povoa de lanhoso,0.0552895080539834,2.0,0.1538461538461538,780.0
Proença-a-Nova,-13.55,99.6439,3247.0,200,TIER 4 - Profecia CASSANDRA,95.4,proenca-a-nova,0.0202,2.0,0.6582969432314411,586.0
Póvoa de Varzim,1.99,99.3562,2179.0,200,TIER 1 - Resiliência,1.2,povoa de varzim,0.167,2.0,0.3,489.0
Ribeira Brava,-4.45,92.6322,122.0,200,TIER 2 - Estagnação,1.1,ribeira brava,0.2078,3.0,0.1046511627906976,462.0
Ribeira Grande,-1.64,95.3171,328.0,Dead,TIER 2 - Estagnação,0.8,ribeira grande,0.29,2.0,0.627972027972028,811.0
Rio Maior,0.53,95.6785,1109.0,Dead,TIER 1 - Resiliência,0.9,rio maior,0.2346,2.0,0.0741499385497746,582.0
Ribeira de Pena,-9.59,94.7396,373.0,200,TIER 3 - Risco de Fuga,40.4,ribeira de pena,0.0156,2.0,0.3190767141887304,584.0
Salvaterra de Magos,-1.06,95.512,895.0,Dead,TIER 2 - Estagnação,1.1,salvaterra de magos,0.3794,1.0,0.0718732314657611,508.0
Santa Comba Dão,-7.24,95.325,783.0,200,TIER 3 - Risco de Fuga,33.5,santa comba dao,0.262,3.0,0.211311861743912,767.0
Santa Cruz,-0.9,95.2597,650.0,200,TIER 1 - Resiliência,0.4,santa cruz,0.2532,2.0,0.1992225461613216,462.0
São Roque do Pico,-4.01,97.5133,701.0,200,TIER 3 - Risco de Fuga,7.1,sao roque do pico,0.0112,2.0,0.2743180648481729,490.0
São Vicente,-13.72,95.5682,314.0,200,TIER 4 - Profecia CASSANDRA,60.6,sao vicente,0.067,2.0,0.0679886685552408,462.0
São João da Madeira,3.34,95.9332,1097.0,200,TIER 1 - Resiliência,0.8,sao joao da madeira,0.0032,2.0,0.1313485113835376,489.0
São João da Pesqueira,-12.61,93.1409,43.0,Dead,TIER 4 - Profecia CASSANDRA,46.7,sao joao da pesqueira,0.1092,2.0,0.1538461538461538,3186.0
Santa Marta de Penaguião,-16.46,94.7286,390.0,200,TIER 4 - Profecia CASSANDRA,77.9,santa marta de penaguiao,0.1186,2.0,0.1277372262773722,586.0
Sobral de Monte Agraço,6.36,95.2353,731.0,200,TIER 1 - Resiliência,0.7,sobral de monte agraco,0.7746,2.0,0.267515923566879,582.0
São Pedro do Sul,-9.13,95.0662,581.0,Dead,TIER 3 - Risco de Fuga,47.3,sao pedro do sul,0.2842,2.0,0.2775441547518923,493.0
Torres Novas,-6.6,95.5746,1236.0,200,TIER 2 - Estagnação,2.1,torres novas,0.0502,2.0,0.2200716845878136,534.0
Vale de Cambra,-6.62,93.0705,155.0,Timeout,TIER 3 - Risco de Fuga,3.3,vale de cambra,0.327,2.0,0.1899943788645306,688.0
Vendas Novas,-4.5,94.6337,477.0,Dead,TIER 2 - Estagnação,1.3,vendas novas,0.6868,1.0,0.0340336134453781,580.0
Vila Franca de Xira,0.61,95.7789,1474.0,200,TIER 1 - Resiliência,0.3,vila franca de xira,0.4922,4.0,0.2177597641857037,488.0
Viana do Castelo,-2.87,95.7344,1384.0,200,TIER 2 - Estagnação,0.3,viana do castelo,0.4864,2.0,0.3089545241443975,489.0
Viana do Alentejo,-6.69,94.3148,209.0,Dead,TIER 3 - Risco de Fuga,2.7,viana do alentejo,0.0928,2.0,0.0067232837933474,692.0
Vila de Rei,-5.83,99.604,3476.0,200,TIER 3 - Risco de Fuga,9.4,vila de rei,0.0332,2.0,0.4058171745152354,488.0
Vila do Bispo,9.76,94.9936,412.0,200,TIER 1 - Resiliência,2.6,vila do bispo,0.03,2.0,0.3042010502625656,767.0
Vila do Conde,2.41,95.6137,1301.0,200,TIER 1 - Resiliência,0.3,vila do conde,0.5546,2.0,0.493940660259089,582.0
Vila Flor,-8.75,95.6103,710.0,Dead,TIER 3 - Risco de Fuga,39.4,vila flor,0.8068,2.0,0.0803993694167104,924.0
Vila Real,-4.29,95.4495,1593.0,200,TIER 2 - Estagnação,1.2,vila real,0.043,2.0,0.1831852358168147,488.0
Vila Verde,-2.31,95.406,877.0,200,TIER 2 - Estagnação,0.9,vila verde,0.1818,2.0,0.0133333333333333,1335.0
Vila Viçosa,-10.69,94.5497,628.0,Dead,TIER 3 - Risco de Fuga,15.1,vila vicosa,0.1088,2.0,0.0495544446859378,692.0
Vila Nova de Famalicão,0.16,95.3392,628.0,200,TIER 1 - Resiliência,0.3,vila nova de famalicao,0.0596,2.0,0.0103652517275419,1353.0
Vila Nova de Paiva,-9.75,95.2735,628.0,200,TIER 3 - Risco de Fuga,17.4,vila nova de paiva,0.1212,2.0,1.183560262228946,489.0
Vila Pouca de Aguiar,-9.73,95.2912,628.0,200,TIER 3 - Risco de Fuga,26.1,vila pouca de aguiar,0.013,2.0,0.2087912087912088,582.0
Vila Real de Santo António,-1.03,95.2572,628.0,Dead,TIER 1 - Resiliência,1.6,vila real de santo antonio,0.0156,2.0,0.2741679873217115,766.0
Vila Velha de Ródão,-5.17,97.5966,628.0,Dead,TIER 3 - Risco de Fuga,45.6,vila velha de rodao,0.0314,2.0,0.0970724191063174,584.0
Ferreira do Alentejo,-5.67,93.3948,628.0,403,TIER 3 - Risco de Fuga,34.2,ferreira do alentejo,0.1932,2.0,0.0303030303030303,1019.0
Freixo de Espada à Cinta,-14.37,94.6874,628.0,200,TIER 4 - Profecia CASSANDRA,77.0,freixo de espada a cinta,0.2384,2.0,0.1740107913669064,259.0
Marco de Canaveses,-6.95,95.9864,628.0,200,TIER 2 - Estagnação,0.9,marco de canaveses,0.4028,2.0,0.4993103448275862,788.0
Paredes de Coura,-4.76,92.9519,43.0,404,TIER 2 - Estagnação,30.2,paredes de coura,0.028,2.0,0.1509433962264151,3736.0
Porto de Mós,-3.88,95.5996,1114.0,200,TIER 2 - Estagnação,1.0,porto de mos,0.0038,2.0,0.4817232375979112,259.0
São Brás de Alportel,5.69,94.9936,360.0,200,TIER 1 - Resiliência,2.0,sao bras de alportel,0.0726,2.0,0.4289871944121071,767.0
Torres Vedras,5.22,95.806,2209.0,200,TIER 1 - Resiliência,0.3,torres vedras,0.037,3.0,0.27170582226762,520.0
Castelo de Paiva,-7.11,95.7311,763.0,200,TIER 3 - Risco de Fuga,5.7,castelo de paiva,0.0092,3.0,0.2115384615384615,255.0
Reguengos de Monsaraz,-8.39,94.6537,494.0,Dead,TIER 3 - Risco de Fuga,36.4,reguengos de monsaraz,0.41,3.0,0.0627227369921596,693.0
Vila Nova de Cerveira,-3.13,95.7048,1344.0,200,TIER 2 - Estagnação,3.9,vila nova de cerveira,0.566,2.0,0.1961043248596896,515.0
Castelo de Vide,-7.84,94.6654,525.0,200,TIER 4 - Profecia CASSANDRA,54.3,castelo de vide,0.4566,2.0,0.3352272727272727,766.0
Miranda do Douro,-13.23,95.394,997.0,200,TIER 4 - Profecia CASSANDRA,94.9,miranda do douro,0.3248,2.0,0.090311986863711,924.0
Marinha Grande,1.75,95.7034,1163.0,200,TIER 1 - Resiliência,0.3,marinha grande,0.5676,2.0,0.1624289560275202,582.0
Montemor-o-Velho,-5.61,95.382,812.0,200,TIER 3 - Risco de Fuga,1.0,montemor-o-velho,0.055,2.0,0.1632047477744807,488.0
Oliveira do Bairro,1.94,95.2706,849.0,200,TIER 1 - Resiliência,0.4,oliveira do bairro,0.1934,2.0,0.1423573735199139,519.0
Paços de Ferreira,-1.18,95.3347,403.0,200,TIER 1 - Resiliência,0.6,pacos de ferreira,0.0526,1.0,0.0989583333333333,582.0
Santana,-14.38,94.2097,226.0,200,TIER 4 - Profecia CASSANDRA,77.7,santana,0.0128,2.0,0.141459074733096,352.0
Sever do Vouga,-10.15,95.1936,680.0,200,TIER 3 - Risco de Fuga,13.5,sever do vouga,0.798,2.0,0.2266487213997308,584.0
Santo Tirso,-5.19,95.4413,1235.0,200,TIER 2 - Estagnação,1.2,santo tirso,0.0092,2.0,0.0719499478623566,582.0
Terras de Bouro,-11.21,95.3217,715.0,200,TIER 4 - Profecia CASSANDRA,61.1,terras de bouro,0.0522,2.0,0.2895522388059701,582.0
Vila Nova de Poiares,-5.57,95.4075,789.0,200,TIER 3 - Risco de Fuga,2.3,vila nova de poiares,0.0102,2.0,0.3017573939134162,542.0
Vieira do Minho,-7.63,95.2567,452.0,200,TIER 3 - Risco de Fuga,18.2,vieira do minho,0.0208,2.0,0.1059782608695652,637.0
Lajes das Flores,-6.23,97.0502,579.0,Dead,TIER 3 - Risco de Fuga,1.3,lajes das flores,0.2024,2.0,0.1786001609010458,640.0
Vila da Praia da Vitória,-6.83,95.3361,606.0,200,TIER 3 - Risco de Fuga,0.7,vila da praia da vitoria,0.2214,2.0,0.1024416135881104,489.0
Santa Cruz das Flores,-10.35,96.9126,603.0,200,TIER 3 - Risco de Fuga,6.1,santa cruz das flores,0.2604,2.0,0.1706623323852092,582.0
Vila Franca do Campo,-7.42,95.2761,590.0,200,TIER 3 - Risco de Fuga,0.9,vila franca do campo,0.1262,2.0,0.3830779480346435,491.0
Calheta [R.A.M.],-4.27,95.2122,148.0,200,TIER 2 - Estagnação,5.3,calheta [r.a.m.],0.077,1.0,0.1072395128552097,462.0
