Domain,Município,Media_Dias_Entre_Capturas,IEI_Score
cm-abrantes.pt,Abrantes,16.4774,95.4857
cm-agueda.pt,Águeda,14.1663,96.1188
cm-alandroal.pt,Alandroal,19.8234,94.5689
cm-albufeira.pt,Albufeira,9.8841,97.292
cm-alcanena.pt,Alcanena,26.2912,92.7969
cm-alcobaca.pt,Alcobaça,23.4698,93.5699
cm-alcochete.pt,Alcochete,15.4783,95.7594
cm-alcoutim.pt,Alcoutim,18.2812,94.9915
cm-alenquer.pt,Alenquer,17.2792,95.266
cm-alijo.pt,Alijó,18.0869,95.0447
cm-aljezur.pt,Aljezur,18.7606,94.8601
cm-almada.pt,Almada,22.8638,93.736
cm-almeida.pt,Almeida,17.5617,95.1886
cm-almeirim.pt,Almeirim,15.3309,95.7998
cm-almodovar.pt,Almodôvar,17.1666,95.2968
cm-alpiarca.pt,Alpiarça,16.9927,95.3445
cm-alvaiazere.pt,Alvaiázere,14.8859,95.9217
cm-alvito.pt,Alvito,19.2308,94.7313
cm-amadora.pt,Amadora,15.2652,95.8178
cm-amarante.pt,Amarante,14.7407,95.9614
cm-amares.pt,Amares,18.2388,95.0031
cm-anadia.pt,Anadia,15.5376,95.7431
cm-ansiao.pt,Ansião,16.9952,95.3438
cm-arganil.pt,Arganil,19.2258,94.7327
cm-armamar.pt,Armamar,17.0613,95.3257
cm-arouca.pt,Arouca,20.0884,94.4963
cm-arraiolos.pt,Arraiolos,19.5014,94.6571
cm-arronches.pt,Arronches,20.0445,94.5084
cm-aveiro.pt,Aveiro,16.2637,95.5442
cm-avis.pt,Avis,19.4109,94.6819
cm-azambuja.pt,Azambuja,16.3964,95.5078
cm-baiao.pt,Baião,1.9492,99.466
cm-barcelos.pt,Barcelos,16.5287,95.4716
cm-barrancos.pt,Barrancos,19.4109,94.6819
cm-barreiro.pt,Barreiro,10.2716,97.1859
cm-batalha.pt,Batalha,21.3236,94.1579
cm-beja.pt,Beja,19.2353,94.73
cm-belmonte.pt,Belmonte,14.4817,96.0324
cm-benavente.pt,Benavente,16.6882,95.4279
cm-bombarral.pt,Bombarral,17.1231,95.3087
cm-borba.pt,Borba,20.0549,94.5055
cm-boticas.pt,Boticas,17.5357,95.1957
cm-braga.pt,Braga,19.0342,94.7852
cm-braganca.pt,Bragança,15.8765,95.6503
cm-cadaval.pt,Cadaval,17.5891,95.1811
cm-caminha.pt,Caminha,16.5962,95.4531
cm-campo-maior.pt,Campo Maior,19.765,94.5849
cm-cantanhede.pt,Cantanhede,23.5426,93.55
cm-cartaxo.pt,Cartaxo,19.3625,94.6952
cm-cascais.pt,Cascais,17.909,95.0934
cm-chamusca.pt,Chamusca,15.9304,95.6355
cm-chaves.pt,Chaves,25.0884,93.1265
cm-cinfaes.pt,Cinfães,15.0771,95.8693
cm-coimbra.pt,Coimbra,14.8788,95.9236
cm-constancia.pt,Constância,15.8639,95.6537
cm-coruche.pt,Coruche,16.4174,95.5021
cm-corvo.pt,Corvo,26.0302,92.8684
cm-covilha.pt,Covilhã,19.0202,94.789
cm-crato.pt,Crato,21.5032,94.1087
cm-cuba.pt,Cuba,17.726,95.1436
cm-elvas.pt,Elvas,19.4109,94.6819
cm-entroncamento.pt,Entroncamento,16.7184,95.4196
cm-espinho.pt,Espinho,26.0092,92.8742
cm-esposende.pt,Esposende,26.0083,92.8744
cm-estarreja.pt,Estarreja,16.8555,95.3821
cm-estremoz.pt,Estremoz,16.2353,95.552
cm-evora.pt,Évora,17.1661,95.297
cm-fafe.pt,Fafe,16.5335,95.4703
cm-faro.pt,Faro,17.6714,95.1585
cm-felgueiras.pt,Felgueiras,15.6819,95.7036
cm-fronteira.pt,Fronteira,25.7344,92.9495
cm-funchal.pt,Funchal,24.726,93.2258
cm-fundao.pt,Fundão,7.9682,97.8169
cm-gaviao.pt,Gavião,19.7594,94.5865
cm-gois.pt,Góis,19.5768,94.6365
cm-golega.pt,Golegã,15.7787,95.6771
cm-gondomar.pt,Gondomar,19.2005,94.7396
cm-gouveia.pt,Gouveia,25.2572,93.0802
cm-grandola.pt,Grândola,10.8437,97.0291
cm-guimaraes.pt,Guimarães,14.8588,95.9291
cm-ilhavo.pt,Ílhavo,15.5243,95.7468
cm-lagoa.pt,Lagoa,16.8818,95.3748
cm-lagos.pt,Lagos,14.9486,95.9045
cm-lamego.pt,Lamego,16.7452,95.4123
cm-leiria.pt,Leiria,15.6594,95.7098
cm-lisboa.pt,Lisboa,10.5744,97.1029
cm-loule.pt,Loulé,1.1401,99.6876
cm-loures.pt,Loures,1.7618,99.5173
cm-lourinha.pt,Lourinhã,17.3521,95.246
cm-lousa.pt,Lousã,19.2359,94.7299
cm-lousada.pt,Lousada,15.5713,95.7339
cm-macao.pt,Mação,16.6109,95.4491
cm-machico.pt,Machico,17.1064,95.3133
cm-madalena.pt,Madalena,17.1355,95.3053
cm-mafra.pt,Mafra,15.2233,95.8292
cm-maia.pt,Maia,16.6477,95.439
cm-manteigas.pt,Manteigas,23.4698,93.5699
cm-marvao.pt,Marvão,21.6432,94.0704
cm-matosinhos.pt,Matosinhos,2.9201,99.2
cm-mealhada.pt,Mealhada,16.1949,95.563
cm-meda.pt,Mêda,19.401,94.6847
cm-melgaco.pt,Melgaço,15.7016,95.6982
cm-mertola.pt,Mértola,16.5124,95.4761
cm-mira.pt,Mira,16.8483,95.384
cm-mirandela.pt,Mirandela,16.9341,95.3605
cm-mogadouro.pt,Mogadouro,25.7992,92.9317
cm-moita.pt,Moita,10.2487,97.1921
cm-moncao.pt,Monção,24.4226,93.3089
cm-monchique.pt,Monchique,19.1019,94.7666
cm-monforte.pt,Monforte,25.7343,92.9495
cm-montalegre.pt,Montalegre,14.8206,95.9396
cm-mora.pt,Mora,21.8065,94.0256
cm-mortagua.pt,Mortágua,23.2626,93.6267
cm-moura.pt,Moura,17.4236,95.2264
cm-mourao.pt,Mourão,19.6726,94.6103
cm-murca.pt,Murça,16.9461,95.3572
cm-murtosa.pt,Murtosa,17.1157,95.3108
cm-nazare.pt,Nazaré,25.0359,93.1408
cm-nelas.pt,Nelas,15.2098,95.8329
cm-nisa.pt,Nisa,17.459,95.2167
cm-nordeste.pt,Nordeste,25.5847,92.9905
cm-obidos.pt,Óbidos,17.4418,95.2214
cm-odemira.pt,Odemira,14.6973,95.9733
cm-odivelas.pt,Odivelas,15.019,95.8852
cm-oeiras.pt,Oeiras,18.784,94.8537
cm-oleiros.pt,Oleiros,1.2997,99.6439
cm-olhao.pt,Olhão,16.501,95.4792
cm-ourem.pt,Ourém,25.7365,92.9489
cm-ourique.pt,Ourique,25.0694,93.1317
cm-ovar.pt,Ovar,19.3757,94.6916
cm-palmela.pt,Palmela,14.6275,95.9925
cm-paredes.pt,Paredes,15.4052,95.7794
cm-penacova.pt,Penacova,17.1063,95.3133
cm-penafiel.pt,Penafiel,15.2595,95.8193
cm-penamacor.pt,Penamacor,14.5861,96.0038
cm-penedono.pt,Penedono,20.0901,94.4959
cm-penela.pt,Penela,17.2928,95.2623
cm-peniche.pt,Peniche,16.1927,95.5637
cm-pinhel.pt,Pinhel,22.33,93.8822
cm-pombal.pt,Pombal,16.8184,95.3922
cm-portalegre.pt,Portalegre,19.0252,94.7876
cm-portel.pt,Portel,20.0901,94.4959
cm-portimao.pt,Portimão,15.4901,95.7561
cm-porto.pt,Porto,14.5695,96.0084
cm-povoacao.pt,Povoação,18.6666,94.8859
cm-redondo.pt,Redondo,21.6022,94.0816
cm-resende.pt,Resende,1.1655,99.6807
cm-sabrosa.pt,Sabrosa,26.4973,92.7405
cm-sabugal.pt,Sabugal,16.9917,95.3447
cm-santarem.pt,Santarém,16.0264,95.6092
cm-santiago-do-cacem.pt,Santiago do Cacém,27.9119,92.3529
cm-sardoal.pt,Sardoal,16.1706,95.5697
cm-satao.pt,Sátão,18.7477,94.8636
cm-seia.pt,Seia,16.4606,95.4903
cm-seixal.pt,Seixal,15.3749,95.7877
cm-sernancelhe.pt,Sernancelhe,19.3655,94.6944
cm-serpa.pt,Serpa,18.0701,95.0493
cm-serta.pt,Sertã,1.3549,99.6288
cm-sesimbra.pt,Sesimbra,17.933,95.0869
cm-setubal.pt,Setúbal,13.9879,96.1677
cm-silves.pt,Silves,18.6041,94.903
cm-sines.pt,Sines,26.0302,92.8684
cm-sintra.pt,Sintra,15.0322,95.8816
cm-soure.pt,Soure,19.3456,94.6998
cm-sousel.pt,Sousel,25.7357,92.9491
cm-tabua.pt,Tábua,15.1042,95.8619
cm-tabuaco.pt,Tabuaço,16.8724,95.3774
cm-tarouca.pt,Tarouca,17.0027,95.3417
cm-tavira.pt,Tavira,19.0665,94.7763
cm-tomar.pt,Tomar,16.4823,95.4843
cm-tondela.pt,Tondela,16.8705,95.3779
cm-trancoso.pt,Trancoso,23.3316,93.6078
cm-vagos.pt,Vagos,16.8016,95.3968
cm-valenca.pt,Valença,17.3956,95.2341
cm-valongo.pt,Valongo,15.3851,95.7849
cm-valpacos.pt,Valpaços,13.3953,96.33
cm-vidigueira.pt,Vidigueira,16.7261,95.4175
cm-vimioso.pt,Vimioso,16.9071,95.3679
cm-vinhais.pt,Vinhais,16.4133,95.5032
cm-viseu.pt,Viseu,14.8368,95.9351
cm-vizela.pt,Vizela,17.1178,95.3102
cm-vouzela.pt,Vouzela,18.8144,94.8454
